都府県振興局,観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間,降雪の深さ,観測所名,カタカナ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ), 風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
Prefectural Promotion Bureau,Observatory Number,Type,Type of Observation Device,Observation_Rainfall,Observation_Temperature,Observation_Wind Direction,Observation_Wind Speed,Observation_Relative Humidity,Observation_Sunshine Duration,Snow Depth,Observatory Name,Katakana Name,Location,Latitude (degrees),Latitude (minutes),Longitude (degrees),Longitude (minutes),Height above Sea Level (m),Height of Anemometer (m),Height of Thermometer (m),Observation Start Date,Note 1,Note 2
宗谷,11001,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,宗谷岬,ソウヤミサキ,稚内市宗谷岬,45,31.2,141,56.1,26,10,1.5,1978.10.30,-,-
宗谷,11016,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,稚内,ワッカナイ,稚内市開運_稚内地方気象台,45,24.9,141,40.7,3,23.5,-,#1975.4.1,11903,-
宗谷,11046,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,礼文,レブン,礼文郡礼文町大字香深村トンナイ,45,18.3,141,2.7,65,6.5,1.5,2003.10.17,-,Excluding humidity
宗谷,11061,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,声問,コエトイ,稚内市大字声問村字声問_稚内航空気象観測所,45,24.2,141,48.1,8,10,-,2003.1.1,11904,Excluding sunlight/humidity/atmospheric pressure
宗谷,11076,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,浜鬼志別,ハマオニシベツ,宗谷郡猿払村浜鬼志別,45,20.1,142,10.2,13,6.5,1.5,1978.10.30,11900,Excluding humidity
宗谷,11091,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,本泊,モトドマリ,利尻郡利尻富士町鴛泊字本泊_利尻航空気象観測所,45,14.5,141,11.2,30,10,-,2003.1.1,-,Excluding sunlight/humidity/atmospheric pressure
宗谷,11121,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,沼川,ヌマカワ,稚内市声問村沼川,45,14.9,141,51.1,23,10,1.5,1977.10.20,11905,Excluding humidity
宗谷,11151,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,沓形,クツガタ,利尻郡利尻町沓形泉町,45,10.7,141,8.3,14,6.5,1.5,#1977.10.24,-,Excluding humidity
宗谷,11176,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,豊富,トヨトミ,天塩郡豊富町豊富東2条,45,6.1,141,46.8,14,10,1.5,(1975.5.29)1977.10.25,11910,Excluding humidity
宗谷,11206,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,浜頓別,ハマトンベツ,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,142,21,18,10,2.5,#1977.10.19,-,Excluding humidity
宗谷,11276,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,中頓別,ナカトンベツ,枝幸郡中頓別町上駒,44,57.9,142,16.8,25,10.2,1.5,(1975.5.28)1977.10.19,11915,Excluding humidity
宗谷,11291,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,北見枝幸,キタミエサシ,枝幸郡枝幸町本町_北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,-,#1976.1.1,11917,-
宗谷,11316,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,歌登,ウタノボリ,枝幸郡枝幸町歌登東町,44,50.5,142,28.8,14,10,1.5,#1977.10.25,11920,Excluding humidity
宗谷,13011,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,幌延,ホロノベ,天塩郡幌延町上幌延,45,0.4,141,51.1,5,-,-,2005.11.15,-,-
上川,12011,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,中川,ナカガワ,中川郡中川町中川,44,49.7,142,4.6,22,10,1.5,1977.10.19,-,Excluding humidity
上川,12041,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,音威子府,オトイネップ,中川郡音威子府村音威子府,44,43.6,142,15.9,40,10,1.5,1977.10.17,12905,Excluding humidity
上川,12066,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,小車,オグルマ,中川郡美深町小車,44,36.5,142,17.7,60,-,-,2005.11.9,-,-
上川,12141,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,美深,ビフカ,中川郡美深町西町,44,28.8,142,20.5,77,10,1.5,#1977.10.6,12900,Excluding humidity
上川,12181,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,名寄,ナヨロ,名寄市大橋,44,22.2,142,27.4,89,8,2.6,#1976.4.1,12910,Excluding humidity
上川,12217,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,西風連,ニシフウレン,名寄市風連町西風連,44,17.7,142,21.5,128,-,-,2005.11.8,-,-
上川,12231,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,下川,シモカワ,上川郡下川町南町,44,17.7,142,38.2,143,10,2.4,#1977.10.14,12925,Excluding humidity
上川,12256,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,剣淵,ケンブチ,上川郡剣淵町旭町,44,6.4,142,21.2,138,-,-,2005.11.10,-,-
上川,12261,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,士別,シベツ,士別市武徳町,44,11.2,142,25,135,8,1.5,#1977.10.13,-,Excluding humidity
上川,12266,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,朝日,アサヒ,士別市朝日町中央,44,7.1,142,35.7,225,10,1.5,1977.10.13,-,Excluding humidity
上川,12301,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,和寒,ワッサム,上川郡和寒町日ノ出,44,1.7,142,24.6,150,10,1.5,1977.10.12,12915,Excluding humidity
上川,12386,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,江丹別,エタンベツ,旭川市江丹別町芳野,43,52.2,142,15.6,140,10,3.2,1977.10.11,-,Excluding humidity
上川,12396,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,比布,ピップ,上川郡比布町北2線,43,52.2,142,28.2,164,10,2.5,(1975.5.27)1977.10.11,-,Excluding humidity
上川,12411,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,上川,カミカワ,上川郡上川町栄町,43,50.8,142,45.2,324,10,2.4,#1977.10.12,12920,Excluding humidity
上川,12442,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,旭川,アサヒカワ,旭川市宮前1条_旭川地方気象台,43,45.4,142,22.3,120,46.4,-,2004.9.9,12927,-
上川,12451,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,東川,ヒガシカワ,上川郡東川町北町,43,42.1,142,30.5,215,10,2.2,1977.10.5,-,Excluding humidity
